iter	Logloss
0	0.687818536
1	0.6824379692
2	0.6773683689
3	0.6721943454
4	0.6670376391
5	0.6619000588
6	0.6575594379
7	0.6530477128
8	0.6481646305
9	0.6436528554
10	0.6394743054
11	0.6354930805
12	0.6309456066
13	0.6261728683
14	0.6222423111
15	0.6180870841
16	0.6139783528
17	0.6103866167
18	0.6059743485
19	0.6022819964
20	0.598140759
21	0.5939304424
22	0.589753986
23	0.5862493059
24	0.5829032543
25	0.5790455686
26	0.5755277483
27	0.5714791828
28	0.5678156845
29	0.5641403198
30	0.5606279304
31	0.5572413087
32	0.5536016528
33	0.5501286445
34	0.5466767856
35	0.5432995669
36	0.5398576608
37	0.5366262899
38	0.5333252952
39	0.5302235242
40	0.5269620205
41	0.5239529113
42	0.5208851902
43	0.517820452
44	0.5148163092
45	0.5120871343
46	0.5087818928
47	0.5058098264
48	0.5030350376
49	0.5003828037
50	0.4977167426
51	0.4947726307
52	0.4921798082
53	0.4898486284
54	0.487548943
55	0.4848638084
56	0.4826175762
57	0.4803474666
58	0.4779841405
59	0.4756768682
60	0.4730781875
61	0.4706755153
62	0.4682979122
63	0.4661082085
64	0.4638018105
65	0.461515273
66	0.4591959346
67	0.4571191779
68	0.4550460361
69	0.4529883204
70	0.4506623743
71	0.4487980266
72	0.4469026617
73	0.4450251611
74	0.4430031292
75	0.4411788346
76	0.4394819263
77	0.4374739691
78	0.4356585355
79	0.4336866068
80	0.4320608388
81	0.4301845048
82	0.4281523379
83	0.4263702597
84	0.4244724566
85	0.4227545188
86	0.4212138233
87	0.4196080756
88	0.4180231475
89	0.4162634854
90	0.4144050883
91	0.4125334085
92	0.4109698947
93	0.4094016569
94	0.4079092334
95	0.4064263454
96	0.4048967717
97	0.40357209
98	0.4019917211
99	0.4006903473
100	0.3990681766
101	0.3975914591
102	0.3961015563
103	0.3947865399
104	0.3933985422
105	0.3920420963
106	0.3908683812
107	0.3894492713
108	0.3881158585
109	0.386730344
110	0.385491719
111	0.3840025007
112	0.3827589219
113	0.3813982391
114	0.3801902891
115	0.378845712
116	0.3775175378
117	0.3763302277
118	0.3752226439
119	0.3739719978
120	0.3728242236
121	0.371565401
122	0.3704287211
123	0.3693139926
124	0.3680830071
125	0.3669508264
126	0.3657681553
127	0.3647794717
128	0.3637427259
129	0.3625725032
130	0.3614379668
131	0.3604687839
132	0.3594725733
133	0.3585414899
134	0.3575976583
135	0.3566377211
136	0.3557391613
137	0.3547815099
138	0.3536514077
139	0.3525143956
140	0.3515596271
141	0.3505887354
142	0.3496946873
143	0.3487450925
144	0.3478271594
145	0.3468743195
146	0.3459142874
147	0.3449668759
148	0.3441368158
149	0.3431384968
150	0.3421822818
151	0.3414028095
152	0.3404535695
153	0.3394319625
154	0.338483984
155	0.3376957582
156	0.3369532737
157	0.3361553999
158	0.335280805
159	0.334375038
160	0.333505217
161	0.3328019388
162	0.3320402484
163	0.3312722077
164	0.3306219729
165	0.3297698015
166	0.3290465779
167	0.3283243685
168	0.3277304349
169	0.3271202082
170	0.3264705281
171	0.3257651588
172	0.3251180967
173	0.3244886317
174	0.3238616973
175	0.323091176
176	0.3224898802
177	0.3218288309
178	0.3211887612
179	0.3205174819
180	0.3198183481
181	0.3192383442
182	0.3187019533
183	0.3182127028
184	0.3175709942
185	0.3169452015
186	0.3162132143
187	0.3156999664
188	0.3150823227
189	0.3143688594
190	0.3136491657
191	0.3131640921
